-3.1415927 | 0.0919997 | - | -0.3183099
-2.9883442 | 0.1007029 | - | -0.3346335
-2.8350958 | 0.1106468 | - | -0.3527218
-2.6818474 | 0.1220658 | - | -0.3728773
-2.5285990 | 0.1352482 | - | -0.3954759
-2.3753505 | 0.1505505 | - | -0.4209905
-2.2221021 | 0.1684143 | - | -0.4500243
-2.0688537 | 0.1893884 | - | -0.4833595
-1.9156053 | 0.2141537 | - | -0.5220282
-1.7623569 | 0.2435519 | - | -0.5674220
-1.6091084 | 0.2786113 | - | -0.6214622
-1.4558600 | 0.3205613 | - | -0.6868792
-1.3026116 | 0.3708103 | - | -0.7676885
-1.1493632 | 0.4308421 | - | -0.8700470
-0.9961147 | 0.5019464 | 0.0623923 | -1.0039004
-0.8428663 | 0.5846505 | 0.4114620 | -1.1864278
-0.6896179 | 0.6777029 | 0.5961592 | -1.4500784
-0.5363695 | 0.7765831 | 0.7437514 | -1.8643865
-0.3831211 | 0.8720055 | 0.8625607 | -2.6101411
-0.2298726 | 0.9498106 | 0.9484837 | -4.3502351
-0.0766242 | 0.9941630 | 0.9941459 | -13.0507053
0.0766242 | 0.9941630 | 0.9941459 | 13.0507053
0.2298726 | 0.9498106 | 0.9484837 | 4.3502351
0.3831211 | 0.8720055 | 0.8625607 | 2.6101411
0.5363695 | 0.7765831 | 0.7437514 | 1.8643865
0.6896179 | 0.6777029 | 0.5961592 | 1.4500784
0.8428663 | 0.5846505 | 0.4114620 | 1.1864278
0.9961147 | 0.5019464 | 0.0623923 | 1.0039004
1.1493632 | 0.4308421 | - | 0.8700470
1.3026116 | 0.3708103 | - | 0.7676885
1.4558600 | 0.3205613 | - | 0.6868792
1.6091084 | 0.2786113 | - | 0.6214622
1.7623569 | 0.2435519 | - | 0.5674220
1.9156053 | 0.2141537 | - | 0.5220282
2.0688537 | 0.1893884 | - | 0.4833595
2.2221021 | 0.1684143 | - | 0.4500243
2.3753505 | 0.1505505 | - | 0.4209905
2.5285990 | 0.1352482 | - | 0.3954759
2.6818474 | 0.1220658 | - | 0.3728773
2.8350958 | 0.1106468 | - | 0.3527218
2.9883442 | 0.1007029 | - | 0.3346335
3.1415927 | 0.0919997 | - | 0.3183099
